<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Blackbaud,BLKB,20130222,27.94,28.25,27.7,28.22,140800
Bloomin' Brands Inc.,BLMN,20130222,18.09,18.09,16.65,17.15,1261600
Bsb Bancorp Inc.,BLMT,20130222,13.05,13.1,13.04,13.1,8700
Biolinerx Ltd.,BLRX,20130222,3.63,3.75,3.63,3.69,128200
Bmc Software,BMC,20130222,40.62,40.74,40.4,40.54,1363200
Bank Of Marin Bancorp,BMRC,20130222,40.21,40.75,39.73,40.43,6900
Biomarin Pharmaceutical Inc.,BMRN,20130222,53.38,56.21,53.35,56.1,2646700
Bryn Mawr Bank Corp.,BMTC,20130222,23.18,23.38,22.99,23.38,17500
Biomimetic Therapeutics,BMTI,20130222,8.76,9.29,8.73,9.14,490400
Beneficial Mutual Bancorp,BNCL,20130222,9.46,9.52,9.34,9.45,86000
Bnc Bancorp,BNCN,20130222,8.59,8.68,8.47,8.64,5500
Bonso Electronics International,BNSO,20130222,1.41,1.54,1.41,1.54,12000
Bob Evans Farms,BOBE,20130222,40.68,40.75,40.42,40.62,188200
Bank Of Commerce Holdings [Ca],BOCH,20130222,4.94,5.01,4.94,5,20900
Body Central,BODY,20130222,7.92,7.92,7.7,7.83,132000
Bofi Holding,BOFI,20130222,33.69,34.31,33.29,33.62,86800
Bok Financial Corp.,BOKF,20130222,58.83,59.6,58.83,59.58,78800
Bolt Technology Corp.,BOLT,20130222,15.7,15.94,15.66,15.8,9800
Bona Film Group Limited,BONA,20130222,4.92,5.01,4.92,4.99,22700
The Bon-Ton Stores,BONT,20130222,10.69,10.9,10.32,10.56,131200
Dynamic Materials Corp.,BOOM,20130222,17.27,17.49,17.06,17.33,24500
B.O.S. Better Online Solutions,BOSC,20130222,3.35,3.35,3.25,3.25,1400
Biota Pharmaceuticals Inc.,BOTA,20130222,4.08,4.2,3.99,4.04,21500
Bank Of The Jame Fnl,BOTJ,20130222,8.19,8.24,7,7,3300
Biosante Pharmaceuticals,BPAX,20130222,1.45,1.45,1.38,1.4,193100
Boston Private Financial Holdings,BPFH,20130222,9.28,9.37,9.21,9.33,208600
Bluephoenix Solutions,BPHX,20130222,4.36,4.5,4.35,4.5,3200
Popular,BPOP,20130222,27.49,27.99,27.33,27.86,717600
Popular,BPOPN,20130222,23.81,24.15,23.81,24,7600
Brocade Communications Systems,BRCD,20130222,5.76,5.8,5.71,5.73,5138300
Broadcom Corp.,BRCM,20130222,34.17,34.57,33.96,34.53,8111200
Craft Brewers Alliance Inc,BREW,20130222,6.66,6.76,6.52,6.67,19900
Bridgford Foods Corp.,BRID,20130222,8.2,8.4,7.95,7.95,2100
Brookline Bancorp,BRKL,20130222,9.12,9.15,9.04,9.14,222700
Bruker Corp.,BRKR,20130222,18,18.26,17.64,17.74,706000
Brooks Automation,BRKS,20130222,10.18,10.29,10.14,10.19,329900
Bio-Reference Laboratories,BRLI,20130222,26.09,26.51,25.7,25.79,256500
Bsd Medical Corp.,BSDM,20130222,1.43,1.43,1.38,1.43,76000
Bassett Furniture Industries Inc.,BSET,20130222,14.23,14.37,14.14,14.37,16500
Broadsoft,BSFT,20130222,32.1,33.25,32.1,33.11,272400
Biostar Pharmaceuticals,BSPM,20130222,1.06,1.12,1.06,1.11,13100
